Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Your favorite social media app wants to build an intelligent machine that can learn to recommend content and flag harmful posts. Which statement best describes the relationship between Artificial Intelligence (AI) and Machine Learning (ML) in this scenario?,multiple-choice,They are the same thing; the terms are interchangeable.,,AI is a tool used by ML to process data.,,"ML is the broad field, and AI is a specific application within it",,"AI is the broad goal of creating intelligent machines, and ML is a specific technique (a subset) used to achieve that goal.",,,,,,4,The relationship is hierarchical. AI is the overarching concept or ambition—creating machines that can mimic human intelligence. ML is a widely used and powerful subset or technique within AI that enables systems to learn from data without explicit programming.,AI/ML Fundamentals
Which statement accurately describes the data requirement for Supervised vs. Unsupervised Learning?,multiple-choice,Supervised Learning uses only continuous data; Unsupervised Learning uses only categorical data.,,Supervised Learning requires labeled training datasets; Unsupervised Learning uses unlabeled data.,,Supervised Learning uses rewards and penalties; Unsupervised Learning uses labeled data.,,Supervised Learning uses data that can be seen by humans; Unsupervised Learning uses hidden data.,,,,,,2,The primary distinction is the data type. Supervised learning needs pre-labeled data (input-output pairs) to learn a specific goal. Unsupervised learning deals with unlabeled data and tries to learn the structure autonomously.,AI/ML Fundamentals
"What is the fundamental building block of an Artificial Neural Network (ANN) in Deep Learning, which receives input, processes it based on its weight and an activation function, and then produces an output signal?",multiple-choice,Transformer,,An Activiation Function,,An Artificial Nueron (Perceptron),,A Convulotion Layer,,,,,,3,"Artificial Neurons (or Perceptrons) are the fundamental decision-makers and building blocks of neural networks. They are mathematical functions, inspired by biological neurons, that enable the AI model to learn intricate patterns when connected in layers.",AI/ML Fundamentals
What is the primary output or goal of a Generative Pre-trained Transformer?,multiple-choice,To encrypt sensitive data for secure storage,,To generate human like text and other content,,To manage hardware and software for the AI services,,To create physical hardware components for computers,,,,,,2,"A GPT as a model used to ""generate human-like text and other content."" While these models are complex, their main purpose is generative, meaning they create new data rather than just classifying or storing existing data.",AI/ML Fundamentals
What is the core deep learning architecture that enables a Generative Pre-trained Transformer to function?,multiple-choice,Convolutional Neural Network (CNN),,Recurrent Neural Network (RNN),,Transformer Architecture,,Random Forest Model,,,,,,3,"A GPT is a type of Large Language Model (LLM) that specifically uses the Transformer architecture. This architecture allows the model to process data in parallel and understand the context of words in a sentence, which is essential for generating human-like text.",AI/ML Fundamentals
"An organization is looking to shift from a reactive security posture to a proactive one. They want to use their vast repository of historical attack data to forecast where future vulnerabilities might emerge so they can adjust their defenses before an attack occurs.

Which technique focuses on using historical data for forecasting?",multiple-choice,Predictive Analytics,,Generative AI,,Behavior Analytics,,Machine Learning (ML),,,,,,1,"Predictive Analytics is the use of historical data to forecast potential attack vectors and vulnerabilities, which allows for proactive defense adjustments.",AI/ML Fundamentals
A security analyst is looking for a way to better identify social engineering attempts and phishing within company emails. Which technique would be most effective for this task? (Select One),multiple-choice,Behavioral Analytics,,Generative AI,,Behavior Analytics,,Machine Learning (ML),,,,,,1,"Natural Language Processing (NLP) is designed to analyze text-based data such as emails, logs, and feeds. Its primary role in cybersecurity defense is to filter spam, detect phishing, and interpret the malicious intent behind text used in social engineering attacks.",AI/ML Fundamentals
What is the primary function of an AI algorithm within a computer system? (Select One),multiple-choice,To physically store large datasets in a neural network.,,To provide a set of rules or instructions used to solve a specific problem or make decisions.,,To replace the need for hardware-based processing units,,To ensure that a computer can only perform tasks it has been explicitly programmed for.,,,,,,2,"An AI algorithm is a computer system that follows rules or instructions to solve a problem. It acts as the logic ""blueprint"" for the system's actions.",AI/ML Fundamentals
"Which characteristic most accurately distinguishes Machine Learning (ML) algorithms from traditional, rule-based AI algorithms?",multiple-choice,ML algorithms require a human to manually code every possible outcome,,"ML algorithms are used exclusively for image recognition, whereas AI is for text.",,ML algorithms enable computers to improve their performance by learning from data without being explicitly programmed for every task.,,ML algorithms do not require a computer system to function.,,,,,,3,"ML algorithms enable computers to ""learn from data without explicit programming."" Traditional AI might rely on rigid ""if-then"" rules, whereas ML adapts based on the data it consumes.",AI/ML Fundamentals
Generative Pre-trained Transformers (GPTs) are categorized as a specific subset of Large Language Models (LLMs). Which architectural component primarily distinguishes GPT from earlier sequence-to-sequence models like RNNs or LSTMs?(Select One),multiple-choice,Supervised fine-tuning protocols,,"The use of a ""Transformer"" deep learning architecture",,"The ability to process data only in a linear, chronological order",,"Their reliance on small, highly specialized datasets",,,,,,2,"GPTs specifically use the Transformer architecture. Unlike Recurrent Neural Networks (RNNs) that process data sequentially, Transformers utilize a mechanism called ""attention"" to process entire sequences of data simultaneously. This allows for better handling of long-range dependencies in text and significantly more efficient training.",AI/ML Fundamentals
Which of the following services are an example of a foundational technology or model that utilizes GPT principles? (Select One),multiple-choice,Google Gemini,,OpenAI ChatGPT,,Anthropic Claude,,All of the above,,,,,,4,"ChatGPT, Gemini, and Claude are relevant examples in the discussion of GPTs and Generative AI. While they are developed by different companies (OpenAI, Google, and Anthropic, respectively), they all function as Generative AI systems built on the core concepts of Large Language Models and Transformer-based architectures.",AI/ML Fundamentals
Why are Transformer-based Models particularly effective for Large Language Models (LLMs) like GPT?,multiple-choice,They are the fastest at generating 3D textures and shapes.,,"They rely on a competitive ""game"" to ensure the grammar is correct.",,They use Self-Attention to understand the relationships and context between distant words in a sentence.,,They are the only architecture capable of compressing data into a latent space.,,,,,,3,"Transformers revolutionized AI because of the Attention mechanism. This allows the model to look at every word in a sentence simultaneously and weigh how important each word is to the others, regardless of how far apart they are. This ""global"" understanding is why Transformers excel at complex tasks like translation, coding, and conversation.",AI/ML Fundamentals
"In the context of Generative AI, how does the ""Garbage In, Garbage Out"" (GIGO) adage specifically apply?",multiple-choice,High-quality prompts can compensate for poor-quality training data.,,"Using outdated hardware will result in ""garbage"" or slow model performance.",,"Poor-quality, irrelevant, or biased input data directly results in inaccurate or unethical model outputs.",,"Models will automatically delete ""garbage"" data during the data lifecycle management process.",,,,,,3,"If the input data is of low quality (garbage in), the resulting AI-generated content will be unreliable, hallucinated, or unethical (garbage out). Effective data lifecycle management is the primary defense against this by ensuring input is high-quality and secure.",AI/ML Fundamentals
"In the context of AI and Machine Learning, why is data often referred to as the ""lifeblood"" or ""fuel"" of a solution?(Select One)",multiple-choice,Because it provides the energy required to power the physical servers and hardware.,,Because the quality and quantity of data directly determine the system's accuracy and reliability.,,Because it is used primarily to replace the need for complex mathematical algorithms.,,Because it is the only component required to build a successful intelligent application.,,,,,,2,"Data is considered the lifeblood because intelligent systems rely on it to learn patterns, make predictions, and draw insights. The slide explicitly states that the characteristics of the data (quality, quantity, etc.) directly determine the capabilities, accuracy, and reliability of the AI/ML system.",AI/ML Fundamentals
What is a unique capability of Google DeepMind’s SynthID compared to traditional text-only watermarks? (Select One),multiple-choice,It only works for written content in English.,,"It can embed digital watermarks across multiple media types, including images, audio, text, and video.",,It makes the AI-generated content impossible to edit.,,It requires a physical hardware key to decode.,,,,,,2,"SynthID is versatile; it embeds watermarks directly into images, audio, text, or video. This multi-modal approach makes it a comprehensive tool for identifying AI-generated content across different types of media.",AI/ML Fundamentals
"Which of the following is identified as one of the ""Three Pillars"" of Human-Centric AI Design?",multiple-choice,Human Accountability,,Human in the Loop,,Human Data Privacy,,Human-Machine Integration,,,,,,2,"Human in the Loop, Human Oversight, and Human Validation. these pillars ensure that humans remain active participants and monitors in the AI's lifecycle.",AI/ML Fundamentals
"In the context of Human-Centric AI, which pillar is most likely responsible for ensuring a person reviews and approves an AI’s output before it is finalized?",multiple-choice,Human Oversight,,Human-Centricity,,Human Validation,,Human-to-Machine Ratio,,,,,,3,"Human Validation (and the related ""Human in the Loop"" concept) refers to the process where a human verifies the accuracy or appropriateness of an AI's result. This ensures the system does not act autonomously in a way that could lead to unverified or unsafe outcomes.",AI/ML Fundamentals
"When comparing Static Design to Iterative Design for an AI-driven application, which of the following statements is most accurate?",multiple-choice,Static design is superior for AI because it assumes the data environment will never change once the model is live.,,Iterative design is more resource-heavy and should only be used for simple rule-based systems.,,"Static design follows a linear path that often fails to account for evolving user needs, while iterative design adapts based on ongoing performance data.",,There is no practical difference between the two; they are different names for the same waterfall methodology.,,,,,,3,"Static design (often associated with traditional ""Waterfall"" project management) assumes that requirements and environments are fixed. However, AI thrives in a more ""Agile"" or iterative environment.",AI/ML Fundamentals
What is the primary objective of implementing MLOps (Machine Learning Operations)?,multiple-choice,To automate the bridge between model development and production to ensure reliability and scalability.,,To reduce the number of data scientists needed by replacing them with hardware engineers.,,"To ensure that once a model is deployed, it is never changed or updated again.",,To focus exclusively on the aesthetic design of the AI's user interface.,,,,,,1,"Think of MLOps as the ""DevOps"" of the AI world. Its goal is to streamline the path from a laboratory experiment to a real-world application. MLOps focuses on automation, continuous integration/continuous deployment (CI/CD), and monitoring. Without MLOps, many AI models ""wither"" in production because they aren't properly monitored for performance drops or data shifts.",AI/ML Fundamentals
"What is a primary benefit of ""shifting security left"" into the design phase using AI tools? (Select One)",multiple-choice,It increases the friction between development and security teams.,,It allows for the identification of vulnerabilities only after the product has launched.,,It reduces friction and improves the speed of development by integrating security early.,,It guarantees that a system will be 100% immune to all future cyberattacks.,,,,,,3,"AI tools help ""shift security left into the design phase."" The result of this proactive integration is ""reducing friction and improving speed,"" as security becomes a foundational element rather than an afterthought or a bottleneck.",Securing AI Systems
Which of the following functions are performed by AI tools during the threat modeling process? (Select One),multiple-choice,"Generating threats, suggesting controls, and making security a continuous part of development.",,Replacing the entire development team with automated scripts.,,Automatically filing legal patents for every new security control identified.,,Strictly limiting the AI's functionality to prevent any potential risks,,,,,,1,"AI tools help ""generate threats, suggest controls, and shift security left."" It also emphasizes that these tools make security a ""continuous, integrated part of development,"" leading to more resilient AI systems.",Securing AI Systems
Which of the following represents a key distinction between the traditional OWASP Top 10 and the OWASP Top 10 for LLMs?,multiple-choice,"The traditional list only applies to desktop software, while the LLM list applies to mobile apps.",,"The LLM list focuses heavily on probabilistic outputs and data privacy risks unique to model training, rather than just traditional input validation.",,The LLM list replaces the traditional list entirely for any organization using a chatbot.,,"The traditional list focuses on hardware security, while the LLM list focuses on software security.",,,,,,2,"A key distinction is the nature of the attack surface. Traditional web vulnerabilities often involve deterministic code execution (e.g., a specific string triggers a specific database error). LLMs introduce a ""probabilistic"" layer where natural language prompts can manipulate the model's behavior in unpredictable ways. The LLM list specifically addresses these new vectors, such as Prompt Injection (LLM01) and Model Denial of Service (LLM04), which are not present in the traditional Top 10.",Securing AI Systems
"How does the ""Paradigm Shift"" with AI deplyments fundamentally change the security landscape when moving from traditional applications to LLM-integrated applications? (Select One)",multiple-choice,It reduces the attack surface by eliminating the need for deterministic code.,,"It shifts the focus from probabilistic outcomes to fixed, executable logic.",,It introduces non-deterministic outputs where content is generated based on complex probabilities rather than exact written instructions.,,It renders traditional vulnerabilities like SQL Injection and Cross-Site Scripting (XSS) obsolete.,,,,,,3,"A ""Paradigm Shift"" from deterministic code (which executes exactly as written) to generative, non-deterministic models. In traditional security, inputs usually lead to predictable, fixed outputs. With LLMs, the model generates content based on probabilities. This makes it harder to predict or ""hard-code"" security boundaries, as the same input might result in different (and potentially malicious) outputs.  ",Securing AI Systems
"According to the OWASP Risk Rating Methodology, how is the overall severity level of a security risk determined?(Select One)",multiple-choice,By calculating the total number of vulnerabilities found during a dynamic scan.,,By multiplying the Likelihood of an exploit by its Impact.,,By assigning a static score based strictly on the CVSS (Common Vulnerability Scoring System) base vector.,,By subtracting the cost of remediation from the total value of the software asset.,,,,,,2,"OWASP doesn't just look at how ""broken"" something is; it looks at the probability of that break being used against you. The standard formula used is:$$Risk = Likelihood \times Impact$$Likelihood factors in the ""who"" (threat agent skill and motive) and the ""how"" (ease of discovery and exploit).Impact measures the ""damage,"" split between technical consequences (like data loss) and business consequences (like legal fines or PR nightmares). This ensures that a technically ""cool"" exploit that affects zero customers isn't prioritized over a boring one that bankrupts the company.",Securing AI Systems
What is the primary objective of implementing a Software Development Life Cycle (SDLC)? (Select One),multiple-choice,To automate the coding process using Large Language Models (LLMs).,,"To produce a high-quality product efficiently, on time, and within budget.",,To eliminate the need for MLOps in AI/ML application development.,,To focus exclusively on the secure deployment phase of a software system.,,,,,,2,"The primary goal of the SDLC as producing a ""high-quality product efficiently, on time, and within budget."" While automation and security are components of modern development, the SDLC itself is a structured framework intended to manage the overall project constraints of quality, time, and cost.",Securing AI Systems
Which of the following is a critical integration for the SDLC process in the context of LLMs?,multiple-choice,Open-source licensing,,Secure Development,,Hardware manufacturing,,Manual documentation only,,,,,,2,"Secure Development ----- SDLC"" as a key takeaway. This indicates that security is not an afterthought but must be integrated directly into the development lifecycle. In the context of LLMs, this often involves protecting against prompt injections, data leakage, and ensuring the integrity of the model's training and inference data.",Securing AI Systems
"What is the primary purpose of ""Red Teaming"" in the context of Large Language Models (LLMs)? (Select One)",multiple-choice,To train the model on a wider variety of public internet data.,,To simulate real-world malicious attacks to find vulnerabilities before an attacker does.,,To improve the speed and latency of the model’s response time.,,"To provide the model with a set of ""Gold Standard"" answers for fine-tuning",,,,,,2,"Red Teaming is a proactive security practice. Its goal is to act like a ""malicious actor"" in a controlled environment to identify and patch security holes before they can be exploited by actual attackers in the wild.",Securing AI Systems
"If a red teamer successfully forces an AI travel assistant to delete a user's calendar events via an integrated plugin it wasn't supposed to access that way, which vulnerability have they demonstrated?",multiple-choice,Prompt Injection,,Data Leakage,,Model Inversion,,Tool Manipulation,,,,,,4,"Tool Manipulation as ""forcing an agent to misuse its allowed external tools or APIs."" Since the travel assistant used its integrated ""tool"" (the calendar API) in an unauthorized or harmful way, it falls directly into this category.",Securing AI Systems
"In the context of MITRE ATLAS, which tactic involves an adversary attempting to manipulate the training data or the environment to influence the behavior of the resulting model?",multiple-choice,Reconnaissance,,Initial Access,,ML Model Corruption,,Exfiltration,,,,,,3,"ML Model Corruption is the tactic where an attacker targets the integrity of the model itself. This is most commonly achieved through Data Poisoning (Technique AML.T0020). By injecting malicious samples into the training pipeline, the adversary can create ""backdoors"" or biases that they can trigger later during the inference phase.",Securing AI Systems
Which ATLAS tactic describes an adversary's attempt to hide their presence or the fact that they are performing an adversarial attack on an AI system?,multiple-choice,Reconnaissance,,Impact,,Persistance,,Defensive Evasion,,,,,,1,"Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise. In an AI context, this might involve crafting ""adversarial examples""—inputs specifically designed to look normal to a human but cause a model to misclassify them—thereby bypassing security filters like spam detectors or malware scanners without triggering alarms.",Securing AI Systems
"What is the primary philosophy behind the ""Defense in Depth"" (DiD) strategy?",multiple-choice,"To create a single, impenetrable perimeter wall that keeps all threats out.",,"To use multiple, layered security controls so that if one fails, others are in place to stop the threat.",,To rely exclusively on the latest AI-driven software to detect and neutralize intrusions automatically.,,To focus security resources only on the most sensitive data at the center of the network.,,,,,,2,"Defense in Depth is based on the military principle that it is much harder for an attacker to penetrate a multi-layered defense than a single barrier. If a firewall (one layer) is bypassed, an Intrusion Detection System (another layer) or endpoint encryption (a third layer) can still protect the asset. It assumes that no single security measure is foolproof, thereby reducing the risk of a single point of failure.",Securing AI Systems
"When using NVIDIA NeMo Guardrails, the framework translates diverse user inputs (e.g., ""Hi,"" ""Hello,"" ""Hey there"") into a single, structured representation to simplify flow logic. What is this representation called?",multiple-choice,Latent Vector,,Canonical Form,,System Prompt,,Tokenized Intent,,,,,,2,"NeMo Guardrails uses Canonical Forms to map many different ways of saying the same thing into one standard ""intent."" For example, various greetings are mapped to a canonical form like user greeted. This allows developers to write stable Colang flows based on the intent rather than trying to account for every possible variation of user text.",Securing AI Systems
"An organization wants to ensure that only specific employees can promote a machine learning model from a development environment to a live production environment. According to the slide, which control mechanism is best suited for this task?",multiple-choice,Rate Limiting,,Role Based Access Control (RBAC),,Model Registry Permissions,,Model Inversion Throttling,,,,,,3,"Model Registry Permissions is the tool used to ""control who can move a model from 'Staging' to 'Production'."" Centralized registries like MLflow or Vertex AI are used to manage the lifecycle of a model, and setting permissions within these registries ensures that deployment is governed by authorized personnel only.RBAC (Role-Based Access Control) defines general roles",Securing AI Systems
A Chief Information Security Officer (CISO) wants to ensure that only authorized employees can access the company’s AI workspace and that access is revoked immediately when an employee leaves. Which feature is exclusive to the Enterprise/Business versions to support this?,multiple-choice,Multi-Factor Authentication (MFA),,Single Sign-On (SSO) and SAML Integration,,Email-based password resets,,Personal API Key generation,,,,,,2,"While MFA is available to all users, SSO (Single Sign-On) via SAML is a hallmark of the Enterprise and Business tiers. It allows companies to integrate ChatGPT with their existing identity providers (like Okta or Azure AD). This is critical for security because it enables centralized user management: when an employee is offboarded from the company's central system, their access to ChatGPT is automatically revoked, preventing ""shadow AI"" and unauthorized access to corporate chat history.",Securing AI Systems
"For highly regulated industries (e.g., Finance or Healthcare), where data is stored is just as important as how it is protected. Which of the following is a security feature available to ChatGPT Enterprise customers to meet these requirements?",multiple-choice,"Localized Data Residency (e.g., storing data at rest in specific regions like the EU or Japan)",,End-to-end encryption where OpenAI cannot read the data at all.,,Physical delivery of hard drives containing the model for on-premise installation.,,Publicly visible audit logs of all user prompts.,,,,,,1,"ChatGPT Enterprise provides advanced compliance features such as Localized Data Residency, allowing organizations to specify that their data at rest be stored in specific geographic regions (US, Europe, UK, Japan, etc.) to comply with local sovereignty laws. Additionally, while all versions use AES-256 at rest and TLS 1.2+ in transit, Enterprise customers can utilize Enterprise Key Management (EKM) to gain more control over their own encryption keys, providing an extra layer of governance.",Securing AI Systems
"An organization is deploying an autonomous AI agent to automate data analysis tasks. To prevent the agent from accidentally modifying or deleting critical system files on the host server, the engineering team decides to run the agent's Python execution environment within a Docker container. Which security principle from the slide is being applied?",multiple-choice,Scoped Tool Tokens,,Sandboxing,,Blast Radius Expansion,,Human-in-the-Loop (HITL),,,,,,2,"Sandboxing involves executing agent-driven code (like Python scripts) in an isolated environment such as a Docker container or Virtual Machine (VM). The primary goal of sandboxing is to ensure the agent has no access to the host file system, thereby protecting the underlying infrastructure from unauthorized changes or malicious code execution.",Securing AI Systems
"Which of the following best describes the concept of ""Blast Radius"" in the context of autonomous agents?",multiple-choice,The physical range of a server's wireless signal.,,The total number of API tokens assigned to a single agent.,,The potential scope of damage or unintended consequences an agent can cause.,,The speed at which an agent can execute generated Python scripts.,,,,,,3,"Autonomous agents often have the power to execute code or call external tools. Controlling these agents is described as ""limiting their 'blast radius'."" This technical metaphor refers to the extent of the impact (security breaches, data loss, or system downtime) that could occur if the agent behaves unexpectedly or is misused.",Securing AI Systems
"You have been hired as an AI solutions architect and have been asked to deploy a responsible  strategy that is not siloed but rather ""holistic."" What specific framework does the slide mention as the basis for this strategy?",multiple-choice,The NIST Cybersecurity Framework,,The Secure Development Lifecycle (SDLC),,The Zero Trust Architecture,,The AI Ethics Governance Model,,,,,,2,"""A secure LLM deployment requires a holistic strategy that addresses security across the entire lifecycle (SDLC)."" While other frameworks like NIST or Zero Trust are valuable in IT, the slide emphasizes integrating security into the Software Development Lifecycle to ensure that every stage—from design to deployment—is covered.",Securing AI Systems
What is the defined scope of Operational Security within an AI/ML environment?,multiple-choice,It is strictly limited to the security of the final production API.,,It focuses only on the physical security of the data center.,,It extends to the unique vulnerabilities across the entire Machine Learning lifecycle.,,It is only relevant during the initial data collection phase.,,,,,,3,"OPSEC is not a point-in-time check. It covers the entire ML lifecycle—from data ingestion and preprocessing to training, testing, deployment, and monitoring. Each stage presents different ""leaks"" that could be exploited by an adversary.",Securing AI Systems
Which of the following is the primary goal of implementing OPSEC for AI/ML systems?,multiple-choice,To prevent sensitive AI-related information and systems from falling into the wrong hands.,,To increase the mathematical accuracy of the model's predictions.,,To reduce the total cost of ownership for cloud-based GPU instances.,,To automate the labeling process for large-scale datasets.,,,,,,1,The ultimate goal of OPSEC is protection. It is a set of processes designed to safeguard critical information and the integrity of the AI systems themselves by denying adversaries the data they need to plan or execute an attack.,Securing AI Systems
"To prevent an attacker from successfully performing a Model Inversion or Membership Inference attack on a sensitive medical diagnostic model, which of the following is the most effective defensive strategy?",multiple-choice,Using a larger training dataset to improve accuracy.,,Implementing Differential Privacy during the training process.,,Encrypting the model weights while they are stored on disk.,,Increasing the GPU clock speed to process queries faster.,,,,,,2,"Differential Privacy adds a mathematically calculated amount of ""noise"" to the training process. This ensures that the inclusion or exclusion of any single individual’s data does not significantly change the model's output. It makes it nearly impossible for an attacker to reconstruct specific training examples or prove that a certain person's data was used.",Securing AI Systems
"According to the OWASP Top 10 for LLM Applications, why is Prompt Injection considered the ""#1 Risk""?",multiple-choice,It allows attackers to bypass the LLM's paywall and use the service for free.,,It enables an attacker to manipulate the LLM’s behavior by overriding its original system instructions or objectives.,,It causes the LLM to permanently lose its ability to process natural language.,,It is the only vulnerability that can result in the total physical destruction of the server hosting the model.,,,,,,2,"Prompt injection is categorized as the most critical risk because it targets the core control mechanism of the LLM. By inserting ""crafted text"" into the input, an attacker can subvert the developer's intended guardrails (the system prompt) and force the model to perform unauthorized actions, such as revealing sensitive data or ignoring ethical constraints",Securing AI Systems
How do LLM01 (Prompt Injection) and LLM02 (Insecure Output Handling) typically interact?,multiple-choice,They are mutually exclusive; you can only have one or the other.,,LLM02 is the tool used to fix the problems caused by LLM01.,,LLM01 is often the method used to exploit the vulnerability of LLM02.,,"LLM02 only occurs if the LLM is offline, while LLM01 occurs when it is online.",,,,,,3,"Think of LLM01 as the ""bullet"" and LLM02 as the ""lack of a bulletproof vest."" An attacker uses Prompt Injection (LLM01) to craft a specific malicious payload. If the application has Insecure Output Handling (LLM02), it ""swallows"" that payload and executes it, completing the attack.",Securing AI Systems
